"源字段","源字段中文注释","源别名","Facts作用域","JOIN直接对侧字段","同一表达式/分组其他来源字段","用途","不同消费任务数","不同SQL材料组数","任务ID","条件/表达式示例","任务级证据ID","细粒度Facts证据ID","统计口径与分母"
"data_time","数据时间","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","data_time","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-8564cb1336cf；FU-107018-f35bcb8c90bc；FU-114782-7a409c14cd7d；FU-114782-d75a12041181；FU-134167-9b5ce79c98f5；FU-138186-2a8dbeee8b20；FU-145871-9138c0bfa010；FU-171179-b6a01ddcc866；FU-171179-d221458e7b00；FU-176610-0a159cac901b；FU-176610-8e77b722d33e；FU-176610-ce04b54fb5a7；FU-184662-53d8b9e911f9；FU-184662-896b2420751e；FU-209894-1e615f7249e7；FU-209894-51fe89bbcb3e；FU-209894-d607fab23e1b；FU-230202-db89152def5b；FU-234175-ab13ddcefc7e；FU-234256-39d1499cadb8","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"data_upt_date","数据更新日期","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","data_upt_date","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-713fd5b03e3e；FU-107018-a3ba994edf0b；FU-114782-0710ff514853；FU-114782-fc976bce5633；FU-134167-0d77083cd261；FU-138186-7a1c6cf023a3；FU-145871-786f53a55ab8；FU-171179-ccd7aecd7916；FU-171179-fe848e26272f；FU-176610-07dea4e406ea；FU-176610-5e2f9476b7c2；FU-176610-aa83ca1a150c；FU-184662-187ecb90c1ef；FU-184662-9db07264125c；FU-209894-7502f4908816；FU-209894-bbc042b1a650；FU-209894-bcb6a0d79b86；FU-230202-97f88db505a1；FU-234175-5189adc7357c；FU-234256-14e069ddfa21","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"eff_date","生效日期","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","eff_date","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-35e681a50585；FU-107018-7213cf05999b；FU-114782-a76ea3a0a02e；FU-114782-bfa6149b3502；FU-134167-af678f67ba46；FU-138186-2d69d630935c；FU-145871-54d486da7044；FU-171179-6e0c1f18c7e8；FU-171179-9724aa2c0cb5；FU-176610-25a42fa36c1f；FU-176610-2f02a615ec3f；FU-176610-e934e2fcea6b；FU-184662-35eee5560f97；FU-184662-518619a46676；FU-209894-b0a0e554fe43；FU-209894-b0c102eca75c；FU-209894-d034eba0633e；FU-230202-745b6f7ebb6f；FU-234175-ec78ef254eaf；FU-234256-2a32125a25ea","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_ast_module_flag","启用资金模块标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_ast_module_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-3c3ce365e414；FU-107018-616e28e390b4；FU-114782-31292c87b88e；FU-114782-6cd159d8d3dc；FU-134167-5ff260dad658；FU-138186-283f631b15b7；FU-145871-0ae75b0c28ac；FU-171179-66172ecc0379；FU-171179-7bc7c5513190；FU-176610-161db3433ff2；FU-176610-8d71bebf5419；FU-176610-e9d278600342；FU-184662-28032f5608eb；FU-184662-529a2c3348e7；FU-209894-33b29d7aaac2；FU-209894-912ca362b9dc；FU-209894-949c9dd7f7dd；FU-230202-dc3480c104a8；FU-234175-4f57ea813a3f；FU-234256-c022d1a19d27","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_rgst_flag","启用报备标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_rgst_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-f80443a10519；FU-107018-fdd790942890；FU-114782-1824e8ded453；FU-114782-f048a0e3c8f9；FU-134167-a7a25e8cde79；FU-138186-7ecb25f68b7e；FU-145871-d8d9da3b4775；FU-171179-178e08b2ba6e；FU-171179-931f167d9a04；FU-176610-2fee8b1d7e8f；FU-176610-ac25a2401e5c；FU-176610-cd9dfe9bc273；FU-184662-95a7664fb001；FU-184662-d9f6903aa6cf；FU-209894-9acf17af285d；FU-209894-b15a7c50fe1e；FU-209894-e5f97f0f17d8；FU-230202-72ee5679bbc5；FU-234175-50d143fe0f0a；FU-234256-cd57c9b78874","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_risk_qta_flag","启用风险限额标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_risk_qta_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-d09f8d6a1ed5；FU-107018-f301fd2e83d9；FU-114782-0a2363146f32；FU-114782-a4c0a14d29b7；FU-134167-f632c445b553；FU-138186-2d8f912dc993；FU-145871-9496bb79cd9d；FU-171179-04a48598512d；FU-171179-671b66572022；FU-176610-3d804111306e；FU-176610-81f27ffdfe2d；FU-176610-b21fc483341a；FU-184662-957d6198ac35；FU-184662-9c9cc9759976；FU-209894-2242ec56a66a；FU-209894-71ffb1130e69；FU-209894-f7e2da4ce6bb；FU-230202-f166271318ea；FU-234175-88244db13cb9；FU-234256-f2dbdb059a5a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_scdtm_revw_flag","启用二次复核标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_scdtm_revw_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-19c4911dedb4；FU-107018-f525e0f538fe；FU-114782-2d45946bcd48；FU-114782-9a4e3a5fc318；FU-134167-e7a7873a4282；FU-138186-9ff23e8d27dd；FU-145871-bc3d33b7261a；FU-171179-85451b67257c；FU-171179-a9e8ecb595e4；FU-176610-0c530ce2c3c2；FU-176610-6a734309c7b7；FU-176610-f06fd83f21a3；FU-184662-b324e8572552；FU-184662-e19262c5a1c6；FU-209894-1bcbc0c69724；FU-209894-6daa4eb62d7d；FU-209894-db8bf6a87513；FU-230202-0a863ca1b3c8；FU-234175-e6c6ea609dbf；FU-234256-f9228262cbc9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_sett_ntfc_flag","启用结算通知书标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_sett_ntfc_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-35f2bbdd04bf；FU-107018-6e3cf766769e；FU-114782-50ca3f18b20b；FU-114782-82130c335b02；FU-134167-9f521271efe8；FU-138186-72db312c8e33；FU-145871-76167c176b86；FU-171179-5968eada6867；FU-171179-6425bccec17d；FU-176610-360af55a1ae9；FU-176610-d9a143ea741e；FU-176610-def226668763；FU-184662-1ea17d1b960f；FU-184662-30173dc8315b；FU-209894-87bc4435cb56；FU-209894-bac8e29a7c6c；FU-209894-bb2908a0f521；FU-230202-11c43a07c222；FU-234175-9fac50a6eacb；FU-234256-63c4901713cb","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_trd_cfm_flag","启用交易确认书标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","enable_trd_cfm_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-9b948329e438；FU-107018-f11e5d84d326；FU-114782-3d713898b59d；FU-114782-c84dfaaf72c0；FU-134167-c4ba231da22b；FU-138186-171661c68970；FU-145871-1720c8f318ea；FU-171179-0a87f41a092b；FU-171179-b6240c06b301；FU-176610-277f1062f54e；FU-176610-8d5cdcd6ef74；FU-176610-ce4d1de80861；FU-184662-80adf40bddc2；FU-184662-cf004f767a56；FU-209894-1099164b8e0a；FU-209894-375743d44808；FU-209894-c7baf9e46b21；FU-230202-985b1a9efc7f；FU-234175-873083c158be；FU-234256-d7d8e1ce65d2","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"exp_date","到期日期","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","exp_date","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-161e74ac29b8；FU-107018-5ea447b887d3；FU-114782-212c891656a1；FU-114782-e9a38fc099a8；FU-134167-d6afc6b1800d；FU-138186-1a957a05c2fc；FU-145871-eaa9425cec90；FU-171179-1f907d4533ad；FU-171179-9d160c628e85；FU-176610-278626a1f88c；FU-176610-6d81dc125433；FU-176610-a54c9a62426f；FU-184662-d5253834ee22；FU-184662-e5e44e4059c1；FU-209894-68bc8fb80188；FU-209894-8b46e0d17cec；FU-209894-aba8008aeda1；FU-230202-405f96ff083f；FU-234175-c9680fd6fe56；FU-234256-9f07e6eca593","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","map_undrl_cd","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-40fcf60c99bb；FU-107018-4ce9b15e96d5；FU-114782-3534419cd510；FU-114782-5a2c64be4b11；FU-134167-edbb6eb4a380；FU-138186-f19fdc4a5372；FU-145871-06cbd0ea17d4；FU-171179-bad2ba27bda4；FU-171179-d89f35584437；FU-176610-2e772ea6bd54；FU-176610-d8ae43ab8f2b；FU-176610-edc004e7aa4c；FU-184662-908ceac6a750；FU-184662-db3171b0dd18；FU-209894-084131966b3e；FU-209894-19ea60edde18；FU-209894-6fc195e819f2；FU-230202-2b7aac0175fa；FU-234175-e3c61b210a36；FU-234256-e48bf4201373","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"ost_otc_ind","场内外标识","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","ost_otc_ind","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-044571aa710b；FU-107018-c91547c94fbd；FU-114782-9a3b1c564ad7；FU-114782-c71b135c132f；FU-134167-1e9ae5ae168b；FU-138186-bba9a78eda81；FU-145871-91bf3cdf3e9d；FU-171179-aeb6d2915ff3；FU-171179-fa3b3c23fb4a；FU-176610-573d3a275e1c；FU-176610-995835ac38c5；FU-176610-c6f4bbd043ca；FU-184662-48c100a9c2c3；FU-184662-9705c6e6e4b4；FU-209894-78320142dc96；FU-209894-7fdf1319175a；FU-209894-f4a0197af8e4；FU-230202-7a07f11131c8；FU-234175-552bda8eb708；FU-234256-a416208887bb","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"remark","备注","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","remark","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-4b2503cea507；FU-107018-bae4da034fa0；FU-114782-45b57a881a57；FU-114782-80f1da6660a9；FU-134167-57477da62ad6；FU-138186-f858cd8f7f11；FU-145871-cd1307452951；FU-171179-2ed517903d86；FU-171179-e9f819ea846e；FU-176610-0b3642458e36；FU-176610-ad2ab3348613；FU-176610-d73c809af6b6；FU-184662-ac4a4b2c282e；FU-184662-b5a85f9e73e8；FU-209894-bb039a3036ba；FU-209894-d36826ccbea3；FU-209894-ef73f2cc703c；FU-230202-177f79bca8fd；FU-234175-9198190d0067；FU-234256-5ad94de6eaf9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_fin_flag","报送财务标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","rep_fin_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-5959d653040b；FU-107018-a606673ed56a；FU-114782-8d7cc6128037；FU-114782-e8072531c60a；FU-134167-08b1dcb8f90c；FU-138186-eb9af038b90c；FU-145871-645e721171ba；FU-171179-1c036ff0ec39；FU-171179-6641e753f442；FU-176610-701aed544b73；FU-176610-72ea4e3c56bb；FU-176610-c45a83e3473a；FU-184662-1b5bf10f6d5c；FU-184662-ff338ddd6c07；FU-209894-9102d97c1a57；FU-209894-ab19c5ac3437；FU-209894-f900c41be919；FU-230202-821731e08a93；FU-234175-2518cf7d587e；FU-234256-5e36ed4e20f0","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_risk_flag","报送风控标志","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","rep_risk_flag","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-066764d9b772；FU-107018-ac52e3dea430；FU-114782-da6278d4107b；FU-114782-fff5e98b4f1c；FU-134167-f74f1a579696；FU-138186-8aabfb284c5e；FU-145871-0ae4d1754492；FU-171179-3e63a0d7a30e；FU-171179-96a914cba001；FU-176610-14cfac86d761；FU-176610-878e7aec969b；FU-176610-c7bcaf0bc79c；FU-184662-6965c7e06afe；FU-184662-8ff1cf5c20eb；FU-209894-4d23ff9bfa4f；FU-209894-86cf0f7249b7；FU-209894-9633483d7ac5；FU-230202-bf13f5a35145；FU-234175-5790158ab4a4；FU-234256-c6521967baee","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"src_tbl","源表","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","src_tbl","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-711e3b688f7b；FU-107018-875c563e1c8d；FU-114782-9c7a589d9944；FU-114782-ddd2a4e28237；FU-134167-dabbd33f5cca；FU-138186-1d889bdfebd6；FU-145871-98f4e48bf393；FU-171179-506805cb066c；FU-171179-ccfc5d2ac4df；FU-176610-46c49009c209；FU-176610-811e4033cbda；FU-176610-9d90cb090279；FU-184662-534d51ae8370；FU-184662-d45bbc891687；FU-209894-4178de66dc5b；FU-209894-c9ac67aeeca4；FU-209894-f0206e114a6c；FU-230202-364dadc9285d；FU-234175-298290323046；FU-234256-351c83811cae","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"task_name","任务名","","root.a；root.casttable.a；root.casttable.a.rb；root.casttable.c；root.casttable.rb；root.casttable.setop.b0.setop.b0.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b0.setop.b0.rb；root.casttable.setop.b0.t.setop.b0.setop.b1.rb；root.casttable.setop.b0.t.setop.b1.rb；root.casttable.setop.b1.rb；root.casttable.u.rb；root.mt.rb；root.setop.b0.rb1；root.setop.b1.rb1","","","源侧通配投影（未证明下游使用）","12","12","107018；114782；134167；138186；145871；171179；176610；184662；209894；230202；234175；234256","task_name","E-107018；E-114782；E-134167；E-138186；E-145871；E-171179；E-176610；E-184662；E-209894；E-230202；E-234175；E-234256","FU-107018-55e11c19f5f3；FU-107018-a0a0d201807b；FU-114782-2045ef759691；FU-114782-b10b085f2bb9；FU-134167-d4bc23014053；FU-138186-77cb62eef1f9；FU-145871-040c4761c913；FU-171179-469ba6c1c76a；FU-171179-de4d92128bdb；FU-176610-1b0182bbe043；FU-176610-651f1f4f0795；FU-176610-9b64206c0bab；FU-184662-5bdeecfc907f；FU-184662-f097eebb5408；FU-209894-1a18ab6eae4f；FU-209894-9c9b1c9ee94b；FU-209894-d47da70767af；FU-230202-85cd4264b569；FU-234175-7d42990c9a5d；FU-234256-09c608482669","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
