"序号","data_src_cd","real_src_tbl","_col2","source_table_comment","source_comment_variant_count","metadata_match","metadata_status","metadata_classifications","t01_task_count","source_annotation_task_ids","schema_status","schema_field_count","schema_fields","schema_ddl_task_ids","schema_field_comment_count","schema_field_comments","source_system_name","source_system_name_basis"
"12","ERP","ODATA_N_ERP.C_CUX_CE_BANKS_ALL","36","银行表","1","true","ACTIVE","自定义_数据重要性_重要","2","96347,96348","DDL_FOUND","27","BUSI_DATE|DATA_TIME|BANK_ID|BANK_NUMBER|BANK_NAME|DESCRIPTION|CREATION_DATE|CREATED_BY|LAST_UPDATED_BY|LAST_UPDATE_DATE|LAST_UPDATE_LOGIN|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15","95044","0","","企业资源计划","CD100 字典"
"13","XPB","ODATA_N_XPB.T_COMPANY_COMPANY","262","机构表","1","true","ACTIVE","自定义_数据重要性_重要","8","36619,36624,37241,63101,63731,63755","DDL_FOUND","19","ID|COMPANYNAME|COMPANYTYPE|CONTACTPERSON|MOBILE|EMAIL|ADDRESS|REMARKS|CREATETIME|UPDATETIME|CREATE_USER_ID|SHORTNAME|COMPANY_PERMISSION|TELEPHONE|CERTIFICATE_TYPE|CERTIFICATE_NUM|IS_FROZEN|FROZEN_DATE|DATA_TIME","36795,60814","0","","迅投PB主经纪商系统","CD100 字典"
"14","XSM","ODATA_N_XSM.P_ECRM_CLIENT_BASE_INFO","561","客户基础信息","1","true","ACTIVE","自定义_数据重要性_重要","5","56784,56785,63225,63813","DDL_FOUND","5","EXT_CUST_NO|CUST_NAME|CERT_TYP_CD|CERT_NO|DATA_TIME","56434","0","","信德综合业务管理平台","CD100 字典"
"15","GLM","ODATA_N_GLM.P_HLS_BP_MASTER","1308","商业伙伴基本信息","1","true","ACTIVE","自定义_数据重要性_重要","13","162645,162646,162650,162651,162653,162654,162655,162656,162658","DDL_FOUND","80","BP_ID|OWNER_USER_ID|BP_CODE|BP_NAME|EXTRA_NAM|BP_CLASS|BP_CATEGORY|GENDER|NATIONALITY|PLACE_OF_BIRTH|NAME_AT_BIRTH|MARITAL_STATUS|ACADEMIC_BACKGROUND|AGE|ID_TYPE|ID_CARD_NO|LICENSE_TERMS|INDUSTRY|ORGANIZATION_CODE|TAXPAYERT_CODE|REGISTERED_PLACE|FOUNDED_DATE|REGISTERED_CAPITAL|CURRENCY|TAXPAYER_TYPE|TAX_STATUS_TYPE|INVOICE_TITLE|INVOICE_BP_ADDRESS_PHONE_NUM|INVOICE_BP_BANK_ACCOUNT|PAID_UP_CAPITAL|COMPANY_NATURE|PRIMARY_BUSINESS|MAIN_PRODUCTS|CHANGE_DESCRIPTION|ENABLED_FLAG|REF_V01|REF_V02|REF_V03|REF_V04|REF_V05|REF_V06|REF_V07|REF_V08|REF_V09|REF_V10|REF_V11|REF_V12|REF_V13|CONTRACT_PLACE|BLACK_FLAG|SAGG_FLAG|ISOLATION_WALL|LISTING_LOCATION|LAST_ASSESS_ID|LAST_FIVE_CODE|LAST_RISK_WARNING_ID|LAST_RISK_WARNING_GRADE|LAST_SCORE_ID|LAST_SCORE_STATUS|CHECK_PERIOD|CHECK_AUTO_CREATE_FLAG|CHECK_BP_SCORE_FLAG|AUTO_FIVE_CODE_FLAG|CREATED_BY|CREATION_DATE|LAST_UPDATED_BY|LAST_UPDATE_DATE|PROVINCE_ID_1|CITY_ID_1|DISTRICT_ID_1|PROVINCE_ID_2|CITY_ID_2|DISTRICT_ID_2|CONTRACT_SEQ|PHONE|CELL_PHONE|MAIL|BUSSINESS_SCOPE|BP_MASTER_STATUS|DATA_TIME","159934","0","","广发租赁业务管理系统","CD100 字典"
"16","PPM","ODATA_N_PPM.P_BAS_SUPPLIER_BASE_INFO","35","供应商管理","1","true","ACTIVE","","3","204546,204547,204548","NO_DDL_FOUND","0","","","0","","合作方人员管理系统","CD100 字典"
"17","CMI","ODATA_N_CMI.G_COOP_CUST_INFO","6561","合作客户信息","1","true","ACTIVE","自定义_数据重要性_重要","5","57567,73083,73084,73176,73177","NO_DDL_FOUND","0","","","0","","托管管理人综合信息平台","CD100 字典"
"18","XSM","ODATA_N_XSM.G_AML_CLIENT","516","基金客户","1","true","ACTIVE","自定义_数据重要性_重要","9","178887,178888,178891,178892,178893,178894,178895,178896","DDL_FOUND","49","CLIENT_ID|HS_CLIENTID|CLIENT_NAME|FULL_NAME|BRANCH_NO|CORP_CLIENT_GROUP|CORP_BEGIN_DATE|CORP_END_DATE|AML_RISK_LEVEL|CORP_RISK_LEVEL|CLIENT_GENDER|NATIONALITY|DSORGAN_FLAG|ID_KIND|ID_NO|ID_BEGINDATE|ID_ENDDATE|OPEN_DATE|CANCEL_DATE|CLIENT_STATUS|PASSWORD|POSITION_STR|CLIENT_TYPE_CTRLSTR|ID|CLIENT_INVEST_TYPE|CLIENT_TERM_TYPE|PRODTA_NO|AGENCY_NO|ADVANCE_MONTH|PROINVESTORS_FLAG|CONFIRM_RESULT|COMPANY_ID|CONFIRM_STEPS|INTRODUCER_NAME|INTRODUCER_ID|RESIDENT_TYPE|ORGAN_TYPE|BIRTHDAY|REGIST_DATE|UPDATE_TIME|SALES_TYPE|CUSTOMER_MANAGER|CUSTOMER_MANAGER_TEL|SALES_AGENCY|CUSTOMER_MANAGER_ORG|STRATEGIC_INVESTOR_RIGHTS|CLIENT_REMARK|ERP_CODE|DATA_TIME","176798","0","","信德综合业务管理平台","CD100 字典"
"19","BSP","ODATA_N_BSP.B_T_CP_COMPANY","7180","公司表","1","true","ACTIVE","","8","237758,237759,237760,237761,237763,237766,237767,239210","DDL_FOUND","31","ID|CREATE_BY|CREATE_DATE|UPDATE_BY|UPDATE_DATE|ECRM_ID|ECIF_ID|ECIF_UID|CREDIT_NO|ORG_NO|REG_NO|CASE_NO|FOREIGN_NO|OTHER_NO|FULL_NAME|ALIAS|EN_NAME|STATUS|OPERA_STATUS|COMP_ROLE_ID|IS_QXB_EXIST|CREATE_TYPE|COMP_TYPE|CORP_REMARK|COMP_CAT_ECRM|COMP_CAT_CMS|IS_COMP_CAT_CONFIRMED|IS_MAYBE_FIN|COMP_CAT_ECRM_CONFIRM|IS_COMP_CAT_ECRM_UPDATED|DATA_TIME","234244","0","","机构客户综合服务门户","CD100 字典"
"20","GKS","ODATA_N_GKS.C_REGISTERS","48689","聊天用户信息表","1","true","ACTIVE","自定义_数据重要性_重要","1","80133","NO_DDL_FOUND","0","","","0","","金钥匙系统","CD100 字典"
"21","CMI","ODATA_N_CMI.G_LP_ORG","44424","机构主表；机构基本信息","2","true","ACTIVE","自定义_数据重要性_重要","5","57562,57565,57587,73196,73197","NO_DDL_FOUND","0","","","0","","托管管理人综合信息平台","CD100 字典"
