"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:a05a4e8a7df3070fd2b5e2454ebabae8bcf74520b89170ac30edb40ca551aeb4","hive","dm_co_n.wt_digi_screen_org_oth_index_mon_s","IT数字化看板机构其他指标月表","PHYSICAL_IDENTITY","150507","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f063f1b30b781a1afb4b0f80b4a60eed4af99981fcab7bc5c924a8606030b711","hive","dm_index_n.index_grp1_get_net_ast_1w_dealdays_last545day","客户_交易日天数_近545个自然日净资产1万及以上_当日_无备注信息","PHYSICAL_IDENTITY","150631","150646;206454","1","2","有写入且被继续读取","","","多来源或计算线索","","indicator:ind2024032551204873","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2759772b45c82820e1d49b3c0ba1b24e66cd41321218faca653c0ed19fb47f29","hive","dm_index_n.index_grp1_fst_net_ast_get_thrh_date_add_10dealdays_last545day","客户_首次净资产达到某阈值累计满10个交易日日期_近545天_当日_零售和机构柜台","PHYSICAL_IDENTITY","150646","206454","1","1","有写入且被继续读取","","","多来源或计算线索","","indicator:ind2024032568402245","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ecc0418334124ace7085aab76d50ce5f5fe683f26451a8a62a31818ad00a044b","hive","pdata_n.t01_same_pty_rela_adtnl_info","同一当事人关系附加信息","PHYSICAL_IDENTITY","150759","212460;232822;234575","1","3","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dbb12cdba74967394777686f876b9a60263efdc3950a5087f31ae76cab5ed513","hive","pdata_nds.trd_otc_contr_props","交易-场外合约结构-其他属性表","PHYSICAL_IDENTITY","150768","207902","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d1caabd4f730b621cf18166b56cc215443fddee0c498e60e317cfa2c6639bc0a","hive","dm_otc_n.otc_v_wm_greeks_pricing_tit","期权子交易希腊值定价数据","PHYSICAL_IDENTITY","150790","","1","0","图内未见后续读取","持仓、风险与盈亏分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:75240f64bf0587cffb632da451b045fab8404de57e4d568f138d21ee148a0fc2","oracle","wind.cgoldspotdescription","","PHYSICAL_IDENTITY","","150902","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:aeaaa3e2f928d24bb4d242d99bf1b0e1eabcd910eacdb1bbc3d45c30606a6284","hive","odata_n_uip.w_cgoldspotdescription","","PHYSICAL_IDENTITY","150902","150919","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:498a1ad5824bcbb9cd368e4ffc0d55a01233974e1b86e9972457e607465c4767","hive","dm_rsk_n.opt_sub_trd_recv_pymt_evt","期权子交易收付款数据","PHYSICAL_IDENTITY","150915","","1","0","图内未见后续读取","资金、保证金与运营分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:61b669b1b782212e14628ede6c7ce2f73422ff88d101366a4cecbf748208a9a5","oceanbase","gfkn.nsfr_assign_statistics","NSFR计算表","PHYSICAL_IDENTITY","","150947","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
