"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:58d80ae9079a44df3ab8227f7f729b5cb602d47bf5b45553bf25c87b54b12d71","hive","odata_n_prd.p_secum_order","","PHYSICAL_IDENTITY","38196","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:93655b75f875dafe02977d6210677887899fdcf2517a80ae9d624c397d561f9a","hive","odata_n_prd.p_srv_order","","PHYSICAL_IDENTITY","40499","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0b50cfae05c1f4901da0a2533c3f376607a55eed68d8003382ec4300e0d2d875","hive","odata_n_prd.p_srv_order_his","","PHYSICAL_IDENTITY","40500","10356","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1fa50d0e18c3be553296760a4f92b305fadb65b83d907a8ff2b9eb1645ef4ad8","hive","gfheguidb.prd_p_go_order","","PHYSICAL_IDENTITY","10356","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:69785cc9a0d695eac2629aef28717879ef35525fbe2cac9c7c1bcf56aa22ebc5","hive","odata_n_tit.d_v_risk_rm_bundlereport_tit","【AI】风控视图-期权子交易信息表","PHYSICAL_IDENTITY","50050;103285;172105;172107","10580;92541;223556","4","3","有写入且被继续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:210dfec44615e24fb53594eaf66e1e160d9b0a22b327a3d7a6f3351228f85885","postgre","public.cal_f_bundlreport_equity","场外期权","PHYSICAL_IDENTITY","10580","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ddfb9bbe06c2b5a393361869cb14799dc79e07a64a548badf6d8aa56563c583a","postgre","public.basicproduct","","PHYSICAL_IDENTITY","","14799","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:06bcfe59563889731be952cc0e7d5fb50a505acc88d41739bcfe518182241714","hive","dm_prd.pc_basicproduct","","PHYSICAL_IDENTITY","14799","14801","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:8f8b5c496f2e43908a52ce095b99f695c14e434d2d2bf1f0f65f17898a0b835d","oracle","crmii.pc_basicproduct","","PHYSICAL_IDENTITY","14801","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1fa95f22bcb1b255eff2e2fb1e317cfb2ebd5426a043c7b43d5930fc5c91530a","hive","dm_ecom_n.wt_sos_callback_success","网上开户呼叫中心电话回访通过明细表","PHYSICAL_IDENTITY","18407;124476","","2","0","图内未见后续读取","客户准入与服务管理","","未见复杂算子线索;多来源或计算线索","18407","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cc08296afaf01ae6ea28ea3d0d41fbeb1d383b2111cb4bcf4c8f0906615c6a2e","hive","odata_n_tit.d_v_risk_transferreport_tit","【AI】风控视图-收付款信息表","PHYSICAL_IDENTITY","50345;71700","20924","2","1","有写入且被继续读取","资金、保证金与运营分析;持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f0873cef083e16b1f87cdd24856e7b81ad5467fc1a40c3f20af59f82fe453a47","postgre","public.cal_rm_transferreport","","PHYSICAL_IDENTITY","20924","","1","0","图内未见后续读取","资金、保证金与运营分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5cce9cdcb6a54e7ecb54e923a812b1327e47236912ebd36e82d12855db1de322","hive","odata_xir.xir_t_ttrd_cfets_b_bond_member","","NONE","","32003","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5f213fad62f2505a5ca5a1189b106dbc7f41d03110cb88fac0e97d75bcb47b5e","hive","odata_xir.xir_t_ttrd_cfets_b_trade_member","","NONE","","32003","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b68a3e0eac9f70564f039ae27145396947ec59f1135f5a814b1087a4159ad200","hive","odata_xir.xir_t_ttrd_otc_counterparty","","PHYSICAL_IDENTITY","","32003;32004","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:825ffba0b6fc770535dbf54b346045db611cd33f1fe7d5805ccd2e1c69104522","hive","odata_n_tit.t_ref_counter_party","","PHYSICAL_IDENTITY","34895;63867","32003;32004","2","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b0798eb8c18561ba9bd65d8eb5c4100511e180493a0b41f2b56a5ff72c4eef3c","hive","spdata.pty_org","机构","PHYSICAL_IDENTITY","32003","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:964d9175bbf72308f7673d0cfda3a976ba32999368a384f0568afe2fb245e1b5","hive","spdata.pty_cutp_info","交易对手信息","PHYSICAL_IDENTITY","32004","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ffc020bd561430a094057f0b8b7943f0334a9f607d58bdb4140bb88bcb6de530","hive","odata_n_prd.p_basicproduct","","PHYSICAL_IDENTITY","60399","34358;61577;66092;66093;66109;66204;66251","1","7","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ab2a2a46dc8031783802f4a0334540e59117a46ee920d7c8ac0fa15035a2818f","oracle","crmii.tbasicproduct","","PHYSICAL_IDENTITY","34358","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6d9cfb68634443d28f69c030ea329ef32cdab8c7568cde48e954ded7f11892c4","oracle","titans_refdata.ref_instrument","证券基本信息","PHYSICAL_IDENTITY","","34863;63758","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:66ac9d35b598b4f9d3770ff7423fd140947141ca0b2fdbafa164899119e19fce","hive","odata_n_tit.r_ref_instrument","证券基本信息","PHYSICAL_IDENTITY","34863;63758","36711;37058;37060","2","3","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b57d71b2d52745b05b7cccedd623d5850cb3bda422e68b5c2c2e96094a383b8d","oracle","titans_refdata.ref_instrument_code","证券-证券编码","PHYSICAL_IDENTITY","","34866;35071;63802;63820","0","4","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f8be5c41dfd9b6cc99fe50d31ca2df9f17a2bfa5d4c55b4ca882f5a7ed4d42ac","hive","odata_n_tit.r_ref_instrument_code","","PHYSICAL_IDENTITY","34866;63802","36710","2","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c3e5f275ea1c889b2f3ad84814ab98ec83dc3b2e4c155adc49a13ea2d338c0a7","oracle","titans_admin.adm_role","系统管理-角色表","PHYSICAL_IDENTITY","","34880;63612","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ebec7743b9d4aa4b6d6e7d074d1a4ad8983a7feff1f83e80e35ca6d4fac5deb1","hive","odata_n_tit.a_adm_role","","PHYSICAL_IDENTITY","34880;63612","37062;159423;208179;208180;208181","2","5","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:073fdd4cb5e255a63b616219fe3a04d3d3036d3690190cda57bf7bf66fe39ba9","oracle","titans_admin.adm_role_access","系统管理-用户-角色对应表","PHYSICAL_IDENTITY","","34881;63613","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4fc4d0a47ebba2b1d1b3ad77a4426d641a28a35df269993dffd66d40710153b1","hive","odata_n_tit.a_adm_role_access","","PHYSICAL_IDENTITY","34881;63613","159421;208179;208180;208181","2","4","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:485f7377ab8fc66c71fc8224bf79ea0b1ecfacf9fe7066431dd89b09f7f71bb8","oracle","titans_admin.adm_user","系统管理-用户表","PHYSICAL_IDENTITY","","34882;63837","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d5118074fb52dca8e413175ab7d5acc51ab3729739cbefd1e331df02f21986c6","hive","odata_n_tit.a_adm_user","","PHYSICAL_IDENTITY","34882;63837","37063;159420;159422;208179;208180;208181","2","6","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2b8dbb48d4013895c873ee50f7c04dcd16e6e569c6766db8c1c855a43c0162bd","goldendb","titans_booking.trd_deal","交易-场内交易成交表","PHYSICAL_IDENTITY","","34883;63759;245314","0","3","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:931edc907ad2fe50f80da7b6c8f89a4a513cda10571c0cd3243bf0918879ef96","hive","odata_n_tit.b_trd_deal","","PHYSICAL_IDENTITY","34883;63759","159419;219264","2","2","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a4ba0de764691e662f9b9e8269928737d1ba36a1aa26bd3cd6348e7865331970","hive","titans_marketdata.ref_instrument_daily_info","","NONE","","34887","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a89bf5ec69429aad6fbb8afc67e6fedf546bcda69f6462e710a43fed13233793","hive","odata_n_tit.m_ref_instrument_daily_info","","PHYSICAL_IDENTITY","34887","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:00d55502e80a51e53cd900cf555068dd3a83ac2edd80b5a8d2a3ab3c83a7d866","oracle","titans_refdata.ref_option_general_info","证券-期权合约通用信息表","PHYSICAL_IDENTITY","","34889;63608","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:52abd378619a93780f25da47d23a77d4cb2bb1061e2a35f22acc2f3b99f2257c","hive","odata_n_tit.r_ref_option_general_info","","PHYSICAL_IDENTITY","34889;63608","228650;234175","2","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:22a3065447ac72c41dddcba01989084f95bf1a9e450c174312cd7830741de14d","oracle","titans_refdata.ref_future_properties","证券-期货信息表","PHYSICAL_IDENTITY","","34890;63866","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b9394c2e65f13834c958f6693e90be154df11ac64874403fa04e46bfb19f0139","hive","odata_n_tit.tit_r_ref_future_properties","","PHYSICAL_IDENTITY","34890;63866","","2","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0d0f69f76f2301b68ed60cd74e38735616c81269bed8c9027413e9b8ed6b43ce","oracle","titans_refdata.ref_option_attribute","证券-期权其他属性表","PHYSICAL_IDENTITY","","34891;63865","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:75a67e9378daf450f3cc84c5a08326db8d3e405011fd6df5bee381964960595f","hive","odata_n_tit.r_ref_option_attribute","","PHYSICAL_IDENTITY","34891;63865","","2","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:61796fa75c362d74e99b67bd1a660d76cd8235a5c51f3aedca33fbe26a05963a","oracle","titans_refdata.ref_option_vanillaoption","证券-期权-香草期权属性","PHYSICAL_IDENTITY","","34894;63868;245297","0","3","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d559d49233fe7af290d9e61546567f02dd1d778bf97874dba82f24bb5ab4b39b","hive","odata_n_tit.r_ref_option_vanillaoption","","PHYSICAL_IDENTITY","34894;63868","","2","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:24f479bc9ee88b2329dc0c6b28fee6fc61ced4e5220b057f07a4d95acd969225","hive","titans_staticdata.ref_counter_party","","NONE","","34895;63867","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fc64427dd109279b8baa0ef242661fc0f4a00d4519b18d6afee5d6beb08ccdd4","goldendb","titans_service.pricing_option_eod_metric","证券-期权每日日终指标表","PHYSICAL_IDENTITY","","34896;63869","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:032fd0cd237c7fe2fe90b69547bcfed97288ed5855b478e9c15e0accc1e8d3ac","hive","odata_n_tit.v_pricing_option_eod_metric","","PHYSICAL_IDENTITY","34896;63869","","2","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e05a2fa5718f93d4eb22645e583f323d87235b2bd79f0d107d630d656496cc65","oracle","titans_staticdata.bk_book","账簿信息表","PHYSICAL_IDENTITY","","34898;63861","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:69a6a205c280f7587561ff9de402292b6bb65367a371c365d7fe83cc7838b443","hive","odata_n_tit.t_bk_book","","PHYSICAL_IDENTITY","34898;63861","36705;37066;208179","2","3","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:65fa3885657a22d06b4ed257aa5713df4012e7cd95597023d4da2e66ec097832","oracle","titans_admin.adm_user_role","系统管理-用户-角色对应表","PHYSICAL_IDENTITY","","34899;63860","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:81eaa6ca0630f09266c0ed9dff249a332690b82c914727dcb7f11d63bdb9cead","hive","odata_n_tit.a_adm_user_role","","PHYSICAL_IDENTITY","34899;63860","37327;177461;208179;208180;208181","2","5","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:340bf66383a6c876a6657d8a8f1ea67ca7f69301935d19a9fb35528a9a356e6b","oracle","titans_otcclearing.pos_otc_position_daily","持仓-账户场外交易每日持仓数据表","PHYSICAL_IDENTITY","","34901;63680","0","2","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fb258513d1b4ff1e31fd7d3f718f549775794e231b0413bedfbbaeb7cb545261","hive","odata_n_tit.o_pos_otc_position_daily","","PHYSICAL_IDENTITY","34901;63680","","2","0","图内未见后续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e13ed5c1d8271e703e9e3fb0f0646d981ccbc22e32691cfc74ed54e26319fb9e","goldendb","titans_booking.trd_deal_otcoption","场外期权交易","PHYSICAL_IDENTITY","","34903;63660","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:3a4b4c45eaa6be5e2e4400ec20d35215b075b61af76d3a38fbf872432c58c2b9","hive","odata_n_tit.b_trd_deal_otcoption","","PHYSICAL_IDENTITY","34903;63660","","2","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fe8d9ddc0d5362f2b507463a6a0ed8d684e3ab1cb9c2cd8e1b61da13f424577a","goldendb","titans_service.pricing_option_eod_pt_metric","证券-期权每日日终压力测试指标表","PHYSICAL_IDENTITY","","34905","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:737c9ff4a8fbc97c30e5967957a05d71e9c9f429068be043c7e14876045ae132","hive","odata_n_tit.v_pricing_option_eod_pt_metric","","PHYSICAL_IDENTITY","34905","37069","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:11c0c44a665812aef9c531536d12c1ecf09a6a8c138c5ac735c20b7043f4154d","oracle","titans_staticdata.ref_portfolio","投资组合定义表","PHYSICAL_IDENTITY","","34911;63690","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0be8516c114a13443deb06cf24d08d2d7a97da5fef70e3acfdb0826e10dff1e6","hive","odata_n_tit.t_ref_portfolio","","PHYSICAL_IDENTITY","34911;63690","37324","2","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ce1b3fdec4b191e5511cda18e350dc002c1c68b47231e6ab4750fa119cbe308d","oracle","titans_staticdata.ref_portfolio_element","投资组合个股清单","PHYSICAL_IDENTITY","","34912;63691","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c5ed03b40de2c6c4ed1c82092e861c144fbed08767d029ba1282df2114ae30ee","hive","odata_n_tit.t_ref_portfolio_element","","PHYSICAL_IDENTITY","34912;63691","37325","2","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1c51c7f957677df836a2c671ba37b43190dadf3cb7673241afb7054d66c95951","oracle","titans_refdata.ref_listed_option_props","场内期权定义表","PHYSICAL_IDENTITY","","34915;63687","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:17ba9220ec9d6fda387800eaabb46560c702a2b9006c7c1d143288932d2453b5","hive","odata_n_tit.r_ref_listed_option_props","","PHYSICAL_IDENTITY","34915;63687","176204","2","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:623c551de1b176a54574456e73141b0bc1555c5f819867b103647b3e5bcd2d73","hive","odata_n_tit.tit_r_ref_instrument_code_s","","PHYSICAL_IDENTITY","35071;63820","","2","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:37062581d9692295c293942f0febd5be2498705420c0f3e278df6d348a2421ce","goldendb","marketrisk.ref_instrument_wind_curve","","PHYSICAL_IDENTITY","","35072;63821","0","2","仅见读取","持仓、风险与盈亏分析;公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:10ab9c402fed4844054342104db09968c79ab41a32d180f0fc12f27108cd50d9","hive","odata_n_tit.tit_r_ref_instrument_wind_curve_s","","PHYSICAL_IDENTITY","35072;63821","172069","2","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6433b83758b29584b991684e090d5cb21d9c64e17e12a13ae0453e1b1fd98e6d","oracle","hs_taquery.ta_tfundinfo","","NAME_CANDIDATE","","35541;62512;145020","0","3","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6c86767dda915fdf6e9e094c5140f3ab93e995ad66cdc4e7efa31d031a9caedf","hive","odata_n_ta5.d_ta_tfundinfo","TA基金信息表","PHYSICAL_IDENTITY","35541;62512","39356;69786;69848","2","3","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4cdbdd8c8ea313f44ee1a0f71dc9f6bf305017091e88282e359c4c8dfde80886","hive","spdata.acct","账户","PHYSICAL_IDENTITY","36705","37259","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:76b3b600e25d895d9df9357690052f81ef9d813f5740582ec9ae724b656e2e20","hive","spdata.prd_tit_idty_rela_h","投管产品识别关系历史","PHYSICAL_IDENTITY","36710","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:98068e28095c7a9877e9d4b34f155eea43938ec86177061f836397aaa563a923","hive","spdata.prd_tit_base_info","用户","PHYSICAL_IDENTITY","36711","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:63c896e9699d8b2758f388fc88fd38e59f13a56ff3bc40b696d054f860cfa2eb","oracle","titans_admin.adm_department","系统管理-公司机构表","PHYSICAL_IDENTITY","","36975;64049","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f51751f3c58f7c15cbf8fc369da7a206e782ffa0e8e73630f6a8ce426a534fba","hive","odata_n_tit.a_adm_department","","PHYSICAL_IDENTITY","36975;64049","37328","2","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:926289e6ef99e1eeea6ba8c32e314ad09e1d447a75a251dc2300a817086c8d9c","hive","odata_n_tit.r_ref_future_properties","","NONE","","37058;37059;37060","0","3","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4f636bc396b8ad94271a1b2ebfa53b263badd3da42d1f604c12412d4ccaa6161","hive","spdata.prd_tit_name_h","投管产品名称历史","PHYSICAL_IDENTITY","37058","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:77ca2d60f81d577340f128c1bb76712b3ac86291756d70deed13c01d95c228a2","hive","spdata.prd_tit_imp_date_h","投管产品重要日期历史","PHYSICAL_IDENTITY","37059","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2d7497724fbd9756a5b502679fe0425826d246280ddef319a41c6553e9a0c21d","hive","spdata.prd_tit_futr_info","投管期货信息","PHYSICAL_IDENTITY","37060","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:3ec47d67f985c20ccaefb585f36926f42eb8bd5b746b19ecc4fa75ad30f86449","hive","spdata.org_role","角色","PHYSICAL_IDENTITY","37062","37271","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:16c12edb7d430e86e781024e0d05c181404ceac29d05c52218d96554bec1aa32","hive","spdata.org_tit_user_supp_info","投管用户补充信息","PHYSICAL_IDENTITY","37063","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:95319153e54640b02995c317560a990e4adaf3bba42653478e653a833843f063","hive","spdata.acct_name_h","账户名称历史","PHYSICAL_IDENTITY","37066","37259","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b84c5beb88426cfff73b2a755adf2ff276caa859adef50822ad0086938b82457","hive","spdata.sum_agt_otc_stres_opt_day_idx","场外期权压力测试日终指标","PHYSICAL_IDENTITY","37069","","1","0","图内未见后续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b782e9fcf6b16114febab726e1344a272ee17612320b372868271531c78ae412","hive","spdata.acct_tit_book","","NONE","","37259","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d9cab054634c7e236a31596466b64da07a33a57a2c6e0f994089c583e05d63f9","hive","dm_tit.ref_book","账簿信息表","PHYSICAL_IDENTITY","37259","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9c47bde0b8d22a1d8ecc8fde2624ecc2535f004e3e3bdd5946b815470a111e1d","hive","dm_tit.adm_role","系统管理-角色表","PHYSICAL_IDENTITY","37271","37371","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a1928f2e60475a6fd694af648912b5d43dc45ee2f5128bce1c04feb58458227f","oracle","titans_dm.ref_portfolio","投资组合定义表","PHYSICAL_IDENTITY","37324","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dc286da8319ea50bd5d6d385eb429c5b8ac1b44d8b40bd0cc7e778b56aa92ac6","oracle","titans_dm.ref_portfolio_element","投资组合个股清单","PHYSICAL_IDENTITY","37325","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ac50b87eb2d375b0069505bd8f9c12edbf5819f8208b8e4f65715b50b118ae22","oracle","titans_dm.adm_user_role","系统管理-用户-角色对应表","PHYSICAL_IDENTITY","37327","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c0d944a48e1c28ed91a1aaaf732ef751bf9246345296f53badf1204adff40a72","oracle","titans_dm.adm_department","系统管理-公司机构表","PHYSICAL_IDENTITY","37328","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ed85e583c0b1cf79176ca3076b3758795d55e29c53f92b77acc0e215019c4c86","oracle","titans_dm.adm_role","系统管理-角色表","PHYSICAL_IDENTITY","37371","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cdc417deb302c596c9beb7c14af7d68196b6e713561b66b7c21861b7aad28aee","hive","pdata_n.t01_indv","个人","PHYSICAL_IDENTITY","63741;104298;105075","37438;66147;68275;76191;123776;123781","3","6","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dbdcdd68a5e4d632f77d494331fcd3f5eabd2f9b6cb5d1b086c36afe3389150b","hive","pdata_n.t01_pty_addr_info","当事人地址信息","PHYSICAL_IDENTITY","63590;63605;63617;63667;63669;63671;63713;63747;63755;63772;63856","37438;66147;66148;67780;68275;68873;73353;73354;140678;158195","11","10","有写入且被继续读取","","","条件转换线索;多来源或计算线索;未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
