"物理身份","表名","中间加工读取任务数","候选群数","候选加工群","全部观察生产任务","聚组处理"
"dataset:2a28c31d675728b6bcbc6c1a6f4fbc6f26832e7103ee1bfd3c88ba3d543ae4fa","pdata_n.t01_pty_emp_rela_adtnl_info","30","5","K085;K091;K040;K042;K041","102002","高复用输入，保留依赖但不促成聚组"
"dataset:ebe7b81d4e802129ab4551ebaf68dbb9f4e25312ec8e62d418dc5b3f63dcf3be","pdata_news_n.t02_fin_fctr_def","26","5","K088;K002;K010;K036;K037","","参与相似计算；同时保留跨群复用"
"dataset:30a45da7fcbdb2d48cab3d0633a118bfbd9a81fe395bc3f35c8f3298e9b3e185","pdata_n.t99_trd_cal_ref","23","4","K004;K002;K010;K021","62548","参与相似计算；同时保留跨群复用"
"dataset:e305ba49f95bb496054a40c861934469db1d1ba96d36b45a53c258a6324bade1","pdata_n.t98_otc_comp_mng_rela_info","21","4","K006;K071;K072;K099","105743","参与相似计算；同时保留跨群复用"
"dataset:5ae63b1571562da6b312951da1502799db1864df676a7975d1bba3482b707f6a","pdata_n.t01_pty","20","4","K044;K048;K026;K078","61526;61601;63101;63165;63168;63179;63182;63195;63206;63216;63262;76984;77076;77078;144556","第一模块文档命中，保留输入但不促成聚组"
"dataset:3a5f52761496ff23035b77170e69177d3b344618e4c778a1a0b4fe513c6639aa","pdata_n.t03_agt","20","4","K027;K080;K093;K096","64103;64107;64303;103928;103929;103930;105053;105054;105055;105381;105383;105521;105522;151338;169636;183084;211541","第一模块文档命中，保留输入但不促成聚组"
"dataset:4e68e4cec4135bf29271330e2158fbe071bbba5190e78526834bb09dfc6f1116","pdata_n.t03_otc_deri_agt_agt_grp_rela_adtnl_info","18","4","K008;K087;K093;K096","141595;141596","第一模块文档命中，保留输入但不促成聚组"
"dataset:d447eec4d7b09da0d1148dc1abc768193e951a77731a7de1164d3e41c6f5588f","odata_n_tit.d_trd_otc_trade","17","4","K059;K028;K076;K089","52806;71698","参与相似计算；同时保留跨群复用"
"dataset:d7f2062d76bf74e2d4262950c795e6a946b271af41c303b8e9b33f51faae5847","pdata_n.t01_otc_deri_cust","16","4","K071;K008;K096;K099","63132;144562;150757;179726","第一模块文档命中，保留输入但不促成聚组"
"dataset:824561731968c71976e1e6b3542e83847685bad4aa4d8e806ecc0826a5262fa8","pdata_nds.bundle_margin_daily_result","16","4","K004;K021;K093;K096","160816;160817;236415","参与相似计算；同时保留跨群复用"
"dataset:dfbcba19f89e005e097e3b6df15998b0a6d1b13a3e172e3199f9e1fc4346c90b","dm_index_n.grp_tag_otc_deri_contr_type_rpt_contr_type","10","4","K034;K038;K095;K006","200499","参与相似计算；同时保留跨群复用"
"dataset:f71ed2df603c69558c7effb4b700bf8461eb35fbeaeac7e58d1db4b6abb13b4b","pdata_n.t03_agt_rela_h","90","3","K090;K093;K074","64078;64168;103935;103936;105061;105063;105388;105529;107938;108070;144288;183087","第一模块文档命中，保留输入但不促成聚组"
