"物理身份","表名","中间加工读取任务数","候选群数","候选加工群","全部观察生产任务","聚组处理"
"dataset:fee85ab2c397cd0f37cfcb0303667e4ab7cc45f0a4a0ee36c1e7cd2c9726aa02","dm_index_n.index_grp2_std_ast_aft_covt_mth_apd","31","2","K013;K085","148763","高复用输入，保留依赖但不促成聚组"
"dataset:468f32c2e0e81f4af996ea87debc44fd7dccbdfbe4e8e110f1eaba4a379a5925","pdata_n.t01_pty_stati_info_h","25","2","K026;K093","57572;90735;100514;114401;114423;173975","第一模块文档命中，保留输入但不促成聚组"
"dataset:9ce39fb0742629e2f4658e8c4c5c25318a01a30636cd45a150489e8297eaadfd","pdata_news_n.t02_co_base_info","25","2","K098;K101","59471;63326;69477;69816;89673;109410","参与相似计算；同时保留跨群复用"
"dataset:191733b644683debcaf5f64ccbae0898efb6bcb765372b79ce26ceea1def9c56","dm_index_n.hold_tag_relation_pre","24","2","K001;K052","","参与相似计算；同时保留跨群复用"
"dataset:dc56d0cfc55edf3f957358de9ede6ee92c559b8458bb93c1ef025864488c1077","pdata_n.t03_agt_name_h","23","2","K086;K090","106660;106674;144290","第一模块文档命中，保留输入但不促成聚组"
"dataset:6235c04014ca24ee658a6b5e3cf71a79b4a11c8894780d85c905a2c3396b38fc","pdata_n.t04_emp_frnt","20","2","K011;K005","186350","参与相似计算；同时保留跨群复用"
"dataset:dbaf72a3b76555923595759f02de9eb33dfc8f05eb0e65e634ca78406bddf401","dm_index_n.grp_tag_client_aum_perf_exam","20","2","K084;K020","190620","参与相似计算；同时保留跨群复用"
"dataset:aa6bc0cb785d74be087d7df8cb9d8238813db7c423d3d52eea7cb7c4a6dcde4d","pdata_n.t01_corp_cust","19","2","K026;K038","63348;63382;63385;63398;63399;63413;63416;63418;63419;63433;63434;63478;72713;76304;77074;79797;91845;92718;144558","参与相似计算；同时保留跨群复用"
"dataset:4f843543ab4d974a9389e323a1b1810adc16fd65383a1ad851d27841802cb8da","pdata_news_n.t02_scr_type","16","2","K001;K065","66251","参与相似计算；同时保留跨群复用"
"dataset:4c726630c4e2d4f06d31074d02ddcb414a59dbe516a678546f58c8dd8d467401","pdata_n.t03_scr_acct","16","2","K026;K027","63460","参与相似计算；同时保留跨群复用"
"dataset:daba3cae756aae4b8f1899b4c0185aae39ec695ae6253bcb3683e32ce2e61646","pdata_n.t98_otc_deri_book_info","16","2","K068;K008","145871;211492","参与相似计算；同时保留跨群复用"
"dataset:3bf85551621bf99db1137b80218a46d2a331bba310593c5cb7c9d0ffe876b833","pdata_n.t01_pty_emp_rela","15","2","K026;K039","63090;63119;63121;63180;63242;63243;123795;145872;221009","参与相似计算；同时保留跨群复用"
"dataset:84d08bf9c2e0d75e0d368ac269dcfae65d312dda1da23d70ca2f4b6de078e164","pdata_n.t98_otc_book_hold_sum","15","2","K008;K087","106590;109369","参与相似计算；同时保留跨群复用"
"dataset:638ae4f95d3d68e18114824fcd55db95954632b29d19f41c3b80cd6486604227","pdata_news_n.t02_stk_base_info","15","2","K098;K043","66002;66039;66040;66041;66263;69946;70343;154677","参与相似计算；同时保留跨群复用"
"dataset:23fbfd96ecf0ea0418a64fefb92444d4094482bc7240e5dccfc72eb3bf415d54","pdata_n.t05_otc_comp_rgst_sac_evt","15","2","K008;K074","106204;107347","第一模块文档命中，保留输入但不促成聚组"
"dataset:ae8478ede5f1c90a74f3150af9ca9b51b6d33cb9e971ba50f57e1caf6bdc5d46","pdata_n.t03_agt_pty_rela_h","14","2","K012;K087","103931;103932;103933;103934;105058;105384;169637;183085;222317","第一模块文档命中，保留输入但不促成聚组"
"dataset:bcbe06888866bf3b66be5000a0a76955d6bc5cfa11db06db0d792771e13c961c","pdata_n.t03_otc_swap_comp_hold_info","14","2","K008;K090","105392;106083;144295;183096;211472","第一模块文档命中，保留输入但不促成聚组"
"dataset:e6b67c0fc34ddfbadb97e4bbe7493b375c09386340e2e5bca62dcf7c3b2f625f","pdata_n.t05_otc_comp_dura_chg_evt","14","2","K009;K099","124565;124566;216458","第一模块文档命中，保留输入但不促成聚组"
"dataset:b54f37917d411631a8b8ea1f00fdb1307ec72d249e43e3decef4690de95787e4","pdata_n.t03_otc_deri_agt_rela_adtnl_info","13","2","K004;K008","122185;122239","第一模块文档命中，保留输入但不促成聚组"
"dataset:48cf200482cbbce15351f667e210e46c6915b786d8cdce9fb21084159de06618","pdata_nds.trd_otc_trade","13","2","K004;K021","119489;160811","参与相似计算；同时保留跨群复用"
"dataset:6b107f6cc3771c2f871533d146534893afd147bb58b319c019df5112b141324b","pdata_n.t01_pty_rat","12","2","K044;K026","63711;63712;63764;63825;63827;63846;104300;105077","第一模块文档命中，保留输入但不促成聚组"
"dataset:eafa58d3a685e8b428cf9dc34fb7da5d92f51b586b50b2790b70b4fee35fdefb","odata_n_pas.j_hssemp_employee_basedoc_ver","12","2","K011;K005","141666","参与相似计算；同时保留跨群复用"
"dataset:8c0592a1b30a84b640548bd540d7b2691afbfc09b00c527169e793be68bd875f","odata_n_pas.j_hssorg_org_ver","12","2","K005;K029","141673","参与相似计算；同时保留跨群复用"
"dataset:cf5dcc9bb3733cd04fffcd16bf854cd3dff4b11c9749c17a1688e2c1b56d9b3f","odata_n_tit.d_ref_otc_option_deal","12","2","K028;K076","78464;78472","参与相似计算；同时保留跨群复用"
"dataset:7cf316082e22f46465f66eff57e6ac8c4e6a743c8d291269becf964eaf810b1f","pdata_nds.ref_counterparty","12","2","K004;K021","160826;160827","参与相似计算；同时保留跨群复用"
"dataset:568acaa46277d981c1ef7345e752c0d77fd9cc40d0fe4ab74fd1c017418869e3","pdata_nds.trd_otc_contr_report","12","2","K004;K021","118156;160829","参与相似计算；同时保留跨群复用"
"dataset:10f28afe91fce800bc28bd1284fb5a6e56872561417659fe34d295d9208633a6","pdata_nds.trd_transfer","12","2","K004;K021","160812;160813","参与相似计算；同时保留跨群复用"
"dataset:65a7e70914ebca5c44103b4cac0edc510ce5860b53e1ce13865fb217aed9c729","pdata_news_n.t02_fin_fctr_term_stru_def","12","2","K002;K037","","参与相似计算；同时保留跨群复用"
"dataset:efa2154cd5ce12a878dc38fd0b6afadd1c9f265354d6cd0d18e1b11c09013b2a","odata_n_pas.j_hssorg_org","11","2","K005;K029","141676","参与相似计算；同时保留跨群复用"
"dataset:6fe25163880c746448571f127e3e774ec3d12233239487215a34281dfd0dbdfa","pdata_n.t98_cust_indv_cust_base_info","11","2","K077;K015","37438;66147","参与相似计算；同时保留跨群复用"
