"任务","名称","范围角色","候选加工群","实际读取物理对象","写入关联物理对象","读取对象数","写入对象数","SQL筛查","投影哈希","说明"
"59447","pdata_news_n.t02_scr_base_info_pre_ICC07","未见读取（原因待核，不聚组）","未聚组","","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","0","1","多来源或计算线索","b216593d90266221868bb80a99656b7c1f82cd8813155c9d167e732f1aec6e37","读写为任务级观察；不将全部输入输出两两解释为因果"
"59448","pdata_news_n.t02_scr_base_info_pre_RCC06","中间加工待识别","未聚组","dataset:d61a2c036a6714d0be1ba8f4cc244fe9779a27b6e4131bfb89af69654e39a25b;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","3","1","多来源或计算线索","ff9b6abe3fe26cb0b1a65c5fee6496687c8bcea8c9f92ea79c6802ac1fa9cbe0","读写为任务级观察；不将全部输入输出两两解释为因果"
"59449","pdata_news_n.t02_scr_base_info_pre_ICC08","中间加工待识别","未聚组","dataset:2549ba8f79d970d2213fd9a99ec23349d8117cd86cb34440a5b0221425d72201;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","3","1","多来源或计算线索","c24530a922af50906cffc958e2c0b3c016c17857dbab6fecf1fe2153aa509fa6","读写为任务级观察；不将全部输入输出两两解释为因果"
"59454","pdata_news_n.t02_scr_base_info_pre_ICC06","中间加工待识别","未聚组","dataset:cadbfadd0972296a77680eb4256fd85e9264501b43b47befcc329eb933ed4723;dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b","3","1","多来源或计算线索","101dcefe461d8afdd56148090e79c5df6d75094d94872e52ef392e15b48d5aae","读写为任务级观察；不将全部输入输出两两解释为因果"
"59457","pdata_news_n.t02_exch_quot_h_ICC","中间加工待识别","K046","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c;dataset:25c11c92a0e780728f014bc25df2949b9fd8e041c0cb1f8ae8fd3248b04b4317;dataset:98323631b89bf3793afd49b56661a6b4eb1ab2f3064977e842c3141a9ae605c9","dataset:0ac67b63719f6ea3f351ad800a8d293556cfd87b40a5f7c1df7ed5ca37ef7656","3","1","多来源或计算线索","0736b97087d5ccf512b456ee48f1df239cbe984a0a880f5a394363b4d4edf17a","读写为任务级观察；不将全部输入输出两两解释为因果"
"59471","pdata_news_n.t02_co_base_info_WD","中间加工待识别","未聚组","dataset:4b2e607fa2e3fc68016dda102e1db1044876bedbb6d6f7306f88a3677ab30ee2;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701","dataset:9ce39fb0742629e2f4658e8c4c5c25318a01a30636cd45a150489e8297eaadfd","2","1","多来源或计算线索","82855a4906b06699f22aa58b5b5e8672e8c54ea9e38cc7b8751d054e587906ca","读写为任务级观察；不将全部输入输出两两解释为因果"
"59485","pdata_news_n.t02_scr_base_info_RCC","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:3a57103e1b7e73fb1e45f1c74af7b2f0d4f3f24e08a7a1a248fddd117003ff3d;dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701;dataset:c1e715904740ef6d2e4b3e8c90cf1a845b68d0844fb3a8a1ed7c62e232c2c47c;dataset:4013d9909887d66f13d42d38407b64daebbcb2b577e3cc78c4daf9ba12421388;dataset:ae36484ed1856fc4b760eabbe9b37ad9c78c06aac90a2d0c2c21c8c9761fe1bd;dataset:2b41a71427f0d9ec8eaccb30fe4a90198124296a80c55495e4577819c20755ae;dataset:b8a0298ec07bc20fe5d69828348c3c0871f950e8fb89dfcad60783d6cdc9e35b;dataset:feb25b1d8e1f43ce1386fb5785e5f483815f3f6a949a9264aacd0ff50e7e7e40","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","8","1","多来源或计算线索","60bb1e4f9ad596413f34924e72594bf1b0177fac92759d1011c6776af946bbaf","读写为任务级观察；不将全部输入输出两两解释为因果"
"59493","pdata_news_n.t02_scr_base_info_WD","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:879c9ca3e7fa50b1981471a74f67a0842f2687b8d4a5dcc8fa24ac76caca5701;dataset:d00c6e6515f0f1fd6f5266ee3f042b2984ce1741ddc45ef22e561768a1135554;dataset:9ce39fb0742629e2f4658e8c4c5c25318a01a30636cd45a150489e8297eaadfd;dataset:a6b650f195027332fa27c00c6bbae5a3d0a5a74d6821d50570b3d2788cac3f15;dataset:59684e526aca3367c57e22bf45c260695e3867e0f514af59f263c669dd47cfd6;dataset:38cd7e32ae1576482f3ce0ec1c2a3d024f7402147c3580768a0baf78ab272a8d;dataset:feb25b1d8e1f43ce1386fb5785e5f483815f3f6a949a9264aacd0ff50e7e7e40","dataset:d1d317cd9977de850494e7de333613711dc9d5f0343bcf41f687737495ed186c","7","1","多来源或计算线索","00d13979db0af9f9eaa677caebd87e4f33ad281dfaf6f31af16ad3efdc7c719b","读写为任务级观察；不将全部输入输出两两解释为因果"
"61476","PDATA_N.T04_INR_ORG_PAS014","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:efa2154cd5ce12a878dc38fd0b6afadd1c9f265354d6cd0d18e1b11c09013b2a;dataset:8c0592a1b30a84b640548bd540d7b2691afbfc09b00c527169e793be68bd875f;dataset:71971a99b87b0481d0a8790abc33720ffa263533e9b532f22e3efb5b53846140","dataset:d4e6292482cfcdf197a51da17a4ed01b6a65cca9711f5c3a31e8a5d979962a69","3","1","多来源或计算线索","efb1d945ba3e436b01504a1e9b90a8b57a35147d23e3163af4dcdcfdfe0515e1","读写为任务级观察；不将全部输入输出两两解释为因果"
"61491","PDATA_N.T04_INR_ORG_NAME_H_LPS001","第一模块文档命中（仅折叠生产侧候选）","未聚组","dataset:45fda0f370d885a8a4e905576483b0fd82ecafc580aad4e746900c6023253104;dataset:ee33869f36de2ee34bb32c3cb9be20b8607414450ebcd494a8fcb3c0927f2ca5","dataset:c63a1d4ba2d991eee977b9ebcc200de429636d291ba9218448851250889ddd22","2","1","多来源或计算线索","f4bf9ba60fdd3a74e7c91705d8b63d55b0d2f8333693cbefe861e58971cf29cd","读写为任务级观察；不将全部输入输出两两解释为因果"
