consumerTaskId,readOccurrenceId,table,status,candidateTaskIds,candidateCount,confirmedCount,partitionStatuses,gapReasons
"100130","task:100130:statement:0:relation:root.casttable.t.t1.t3.read.index_grp_gks_restore_order_pty_id","dm_index_n.index_grp_gks_restore_order_pty_id","CANDIDATE_ONLY","87348","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t10.read.index_grp_gks_restore_order_lvl3_chan","dm_index_n.index_grp_gks_restore_order_lvl3_chan","CANDIDATE_ONLY","87211","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t11.t2.read.index_grp_devpr_emp_id","dm_index_n.index_grp_devpr_emp_id","CANDIDATE_ONLY","97635","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t11.t3.t1.read.index_grp1_net_ast","dm_index_n.index_grp1_net_ast","CANDIDATE_ONLY","158338","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t11.t4.read.grp_tag_client_whth_valid_flag","dm_index_n.grp_tag_client_whth_valid_flag","CANDIDATE_ONLY","101399","1","0","ASSUMED",""
"100130","task:100130:statement:0:relation:root.casttable.t.t12.read.index_grp_gks_restore_order_bef_devpr_emp_id","dm_index_n.index_grp_gks_restore_order_bef_devpr_emp_id","CANDIDATE_ONLY","87175","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t14.read.index_grp_gks_restore_order_fir_abt_serv_time","dm_index_n.index_grp_gks_restore_order_fir_abt_serv_time","CANDIDATE_ONLY","89236","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t15.read.index_grp_gks_restore_order_lock_refr_flag","dm_index_n.index_grp_gks_restore_order_lock_refr_flag","CANDIDATE_ONLY","89450","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t16.read.index_grp_gks_restore_order_lock_org_flag","dm_index_n.index_grp_gks_restore_order_lock_org_flag","CANDIDATE_ONLY","89449","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t3.read.index_grp_gks_restore_order_fir_open_app_time","dm_index_n.index_grp_gks_restore_order_fir_open_app_time","CANDIDATE_ONLY","87100","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t4.read.index_grp_gks_restore_order_fir_call_time","dm_index_n.index_grp_gks_restore_order_fir_call_time","CANDIDATE_ONLY","87097","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t5.read.index_grp_gks_restore_order_sum_dura","dm_index_n.index_grp_gks_restore_order_sum_dura","CANDIDATE_ONLY","87141","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t6.read.index_grp_gks_restore_order_call_times","dm_index_n.index_grp_gks_restore_order_call_times","CANDIDATE_ONLY","87130","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t7.read.index_grp_gks_restore_order_chan","dm_index_n.index_grp_gks_restore_order_chan","CANDIDATE_ONLY","87202","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t8.read.index_grp_gks_restore_order_lvl1_chan","dm_index_n.index_grp_gks_restore_order_lvl1_chan","CANDIDATE_ONLY","87209","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"100130","task:100130:statement:0:relation:root.casttable.t.t9.read.index_grp_gks_restore_order_lvl2_chan","dm_index_n.index_grp_gks_restore_order_lvl2_chan","CANDIDATE_ONLY","87210","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"104454","task:104454:statement:0:relation:root.casttable.clbk.m1.a.read.grp_tag_indv_highage_clbk_cust","dm_index_n.grp_tag_indv_highage_clbk_cust","FULLY_CONFIRMED","104345","1","1","CONFIRMED",""
"104454","task:104454:statement:0:relation:root.casttable.clbk.m1.b.read.index_grp_highage_cust_slhp_auth_year_erlst_date","dm_index_n.index_grp_highage_cust_slhp_auth_year_erlst_date","FULLY_CONFIRMED","103884","1","1","CONFIRMED",""
"104454","task:104454:statement:0:relation:root.casttable.clbk.m1.c.read.index_grp_highage_cust_cstsv_clbk_year_erlst_date","dm_index_n.index_grp_highage_cust_cstsv_clbk_year_erlst_date","FULLY_CONFIRMED","103886","1","1","CONFIRMED",""
"104454","task:104454:statement:0:relation:root.casttable.clbk.m1.d.read.index_grp_highage_cust_cstsv_brch_clbk_year_erlst_date","dm_index_n.index_grp_highage_cust_cstsv_brch_clbk_year_erlst_date","FULLY_CONFIRMED","103888","1","1","CONFIRMED",""
"104454","task:104454:statement:0:relation:root.casttable.clbk.m1.e.read.index_grp_highage_cust_oth_auth_year_erlst_date","dm_index_n.index_grp_highage_cust_oth_auth_year_erlst_date","FULLY_CONFIRMED","103889","1","1","CONFIRMED",""
"110695","task:110695:statement:0:relation:root.read.wt_tcust_oth_comp_stat_mon","dm_om_n.wt_tcust_oth_comp_stat_mon","CANDIDATE_ONLY","197701","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
"112088","task:112088:statement:0:relation:root.casttable.sub.read.t03_intel_cond_ord","pdata_n.t03_intel_cond_ord","FULLY_CONFIRMED","189432|189434|80256|80257|80258|93518","6","1","DISJOINT|CONFIRMED",""
"121469","task:121469:statement:0:relation:root.casttable.t2.a.setop.b0.read.index_grp_client_secu_mkt_val","dm_index_n.index_grp_client_secu_mkt_val","ALL_DISJOINT","93524","1","0","DISJOINT","PARTITION_NO_MATCH"
"121469","task:121469:statement:0:relation:root.casttable.t2.a.setop.b1.read.index_grp_client_mkt_val_off","dm_index_n.index_grp_client_mkt_val_off","ALL_DISJOINT","91519","1","0","DISJOINT","PARTITION_NO_MATCH"
"121469","task:121469:statement:0:relation:root.casttable.t3.read.index_grp1_ast","dm_index_n.index_grp1_ast","CANDIDATE_ONLY","157103","1","0","UNKNOWN","WRITER_PARTITION_UNKNOWN"
"125761","task:125761:statement:0:relation:root.b.read.wt_mts_qual_pcus_info_s","dm_crd_n.wt_mts_qual_pcus_info_s","FULLY_CONFIRMED","206945","1","1","CONFIRMED",""
"125761","task:125761:statement:0:relation:root.c.read.wt_crd_potential_cust_dev_label_s","dm_crd_n.wt_crd_potential_cust_dev_label_s","CANDIDATE_ONLY","170408","1","0","UNKNOWN","PARTITION_NON_LITERAL|WRITER_PARTITION_UNKNOWN"
